epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.3579,1.01297,2.05634,0.97273,1,0.05483,0.72649,0.58551,0.79043,3.09932,0.89285,0.000652778,0.000652778,0.000652778
2,112.127,1.03611,1.40084,1.01444,0.98193,0.77641,0.92263,0.67128,1.04074,2.47353,0.97326,0.00130638,0.00130638,0.00130638
3,168.163,1.03456,1.26998,1.01842,0.95888,0.95714,0.97658,0.72169,0.98188,1.42944,0.99354,0.00194679,0.00194679,0.00194679
4,224.125,1.06563,1.2523,1.04685,0.81851,0.83763,0.88596,0.66538,0.91833,1.73115,0.97379,0.0019406,0.0019406,0.0019406
5,279.728,1.01381,1.08567,1.00028,0.91967,0.98137,0.97308,0.73118,0.91196,1.2765,0.94915,0.0019208,0.0019208,0.0019208
6,334.615,1.00298,1.01336,1.01255,0.98888,0.95714,0.98694,0.73324,0.87694,0.9937,0.944,0.001901,0.001901,0.001901
7,389.849,1.0076,0.96024,1.01753,0.94824,0.95714,0.98733,0.74023,0.92784,0.90321,0.94832,0.0018812,0.0018812,0.0018812
8,444.061,1.01665,0.92619,1.00708,0.98587,0.99665,0.99486,0.71711,1.00955,0.89015,0.95921,0.0018614,0.0018614,0.0018614
9,496.725,0.98945,0.84827,0.99237,1,0.98295,0.99421,0.75829,0.82302,0.73399,0.89755,0.0018416,0.0018416,0.0018416
10,548.765,0.92669,0.77245,0.97677,0.99822,1,0.995,0.77048,0.82584,0.67331,0.92216,0.0018218,0.0018218,0.0018218
